,Date,Open,High,Low,Close,Adj Close**,Volume,Daily_Change,Daily_Change_Ind,MACD,PROC_3,PROC_5,PROC_10,wpr,sto_os
682,2016-07-30,0.0002,0.0002,0.0002,0.0002,0.0002,"58,986",0.0,0,-2.3975140365257937e-05,0.0,0.0,0.0,-100.0,0.0
683,2016-07-31,0.0002,0.0002,0.0002,0.0002,0.0002,"89,186",0.0,0,-2.3653586355198606e-05,0.0,0.0,0.0,-100.0,0.0
684,2016-08-01,0.0002,0.0002,0.0002,0.0002,0.0002,"130,186",0.0,0,-2.3132100035577215e-05,0.0,0.0,0.0,-100.0,0.0
685,2016-08-02,0.0002,0.0002,0.0002,0.0002,0.0002,"225,484",0.0,0,-2.2459914457120822e-05,0.0,0.0,-0.33333333333333326,-100.0,0.0
686,2016-08-03,0.0002,0.0002,0.0002,0.0002,0.0002,"191,331",0.0,0,-2.1677319893291763e-05,0.0,0.0,0.0,-100.0,0.0
687,2016-08-04,0.0002,0.0002,0.0002,0.0002,0.0002,"143,676",0.0,0,-2.0817141019712984e-05,0.0,0.0,0.0,-100.0,0.0
688,2016-08-05,0.0002,0.0002,0.0002,0.0002,0.0002,"123,728",0.0,0,-1.9905979326513513e-05,0.0,0.0,0.0,-100.0,0.0
689,2016-08-06,0.0002,0.0002,0.0002,0.0002,0.0002,"278,089",0.0,0,-1.8965257437807202e-05,0.0,0.0,0.0,-100.0,0.0
690,2016-08-07,0.0002,0.0003,0.0002,0.0003,0.0003,"1,567,680",9.999999999999996e-05,1,-1.0034888351922723e-05,0.4999999999999998,0.4999999999999998,0.4999999999999998,0,0
691,2016-08-08,0.0003,0.0003,0.0002,0.0002,0.0002,"600,323",-9.999999999999996e-05,0,-1.0901010710823189e-05,0.0,0.0,0.0,-100.0,0.0
692,2016-08-09,0.0002,0.0002,0.0002,0.0002,0.0002,"302,290",0.0,0,-1.1455368562260062e-05,0.0,0.0,0.0,-100.0,0.0
693,2016-08-10,0.0002,0.0002,0.0002,0.0002,0.0002,"263,827",0.0,0,-1.1759149003559485e-05,-0.33333333333333326,0.0,0.0,-100.0,0.0
694,2016-08-11,0.0002,0.0002,0.0002,0.0002,0.0002,"190,175",0.0,0,-1.1863146226759195e-05,0.0,0.0,0.0,-100.0,0.0
695,2016-08-12,0.0002,0.0002,0.0002,0.0002,0.0002,"136,558",0.0,0,-1.1809432983092192e-05,0.0,-0.33333333333333326,0.0,-100.0,0.0
696,2016-08-13,0.0002,0.0002,0.0002,0.0002,0.0002,"98,768",0.0,0,-1.1632769524571424e-05,0.0,0.0,0.0,-100.0,0.0
697,2016-08-14,0.0002,0.0003,0.0002,0.0002,0.0002,"405,881",0.0,0,-1.1361790808926117e-05,0.0,0.0,0.0,-100.0,0.0
698,2016-08-15,0.0002,0.0002,0.0002,0.0002,0.0002,"355,769",0.0,0,-1.1020006449843033e-05,0.0,0.0,0.0,-100.0,0.0
699,2016-08-16,0.0002,0.0003,0.0002,0.0003,0.0003,"707,776",9.999999999999996e-05,1,-2.649434585036165e-06,0.4999999999999998,0.4999999999999998,0.4999999999999998,-0.0,100.0
700,2016-08-17,0.0003,0.0003,0.0002,0.0002,0.0002,"312,708",-9.999999999999996e-05,0,-4.0383092256001405e-06,0.0,0.0,-0.33333333333333326,-100.0,0.0
701,2016-08-18,0.0002,0.0003,0.0002,0.0002,0.0002,"170,275",0.0,0,-5.0804382548100995e-06,0.0,0.0,0.0,-100.0,0.0
702,2016-08-19,0.0002,0.0002,0.0002,0.0002,0.0002,"311,444",0.0,0,-5.8390243802046925e-06,-0.33333333333333326,0.0,0.0,-100.0,0.0
703,2016-08-20,0.0002,0.0002,0.0002,0.0002,0.0002,"167,039",0.0,0,-6.366816650753667e-06,0.0,0.0,0.0,-100.0,0.0
704,2016-08-21,0.0002,0.0002,0.0002,0.0002,0.0002,"121,065",0.0,0,-6.707772798326175e-06,0.0,-0.33333333333333326,0.0,-100.0,0.0
705,2016-08-22,0.0002,0.0002,0.0002,0.0002,0.0002,"375,078",0.0,0,-6.8984618279248615e-06,0.0,0.0,0.0,-100.0,0.0
706,2016-08-23,0.0002,0.0002,0.0002,0.0002,0.0002,"331,014",0.0,0,-6.969247115183927e-06,0.0,0.0,0.0,-100.0,0.0
707,2016-08-24,0.0002,0.0002,0.0002,0.0002,0.0002,"225,706",0.0,0,-6.945284054031526e-06,0.0,0.0,0.0,-100.0,0.0
708,2016-08-25,0.0002,0.0002,0.0002,0.0002,0.0002,"151,207",0.0,0,-6.847361039692375e-06,0.0,0.0,0.0,-100.0,0.0
709,2016-08-26,0.0002,0.0002,0.0002,0.0002,0.0002,"139,823",0.0,0,-6.692608124871758e-06,0.0,0.0,-0.33333333333333326,-100.0,0.0
710,2016-08-27,0.0002,0.0002,0.0002,0.0002,0.0002,"93,230",0.0,0,-6.49509392522743e-06,0.0,0.0,0.0,-100.0,0.0
711,2016-08-28,0.0002,0.0002,0.0002,0.0002,0.0002,"240,313",0.0,0,-6.26632816852344e-06,0.0,0.0,0.0,-100.0,0.0
712,2016-08-29,0.0002,0.0002,0.0002,0.0002,0.0002,"217,469",0.0,0,-6.015684590837743e-06,0.0,0.0,0.0,-100.0,0.0
713,2016-08-30,0.0002,0.0002,0.0002,0.0002,0.0002,"242,014",0.0,0,-5.7507566072852645e-06,0.0,0.0,0.0,-100.0,0.0
714,2016-08-31,0.0002,0.0002,0.0002,0.0002,0.0002,"181,570",0.0,0,-5.477656259974493e-06,0.0,0.0,0.0,0,0
715,2016-09-01,0.0002,0.0002,0.0002,0.0002,0.0002,"203,953",0.0,0,-5.201265318235596e-06,0.0,0.0,0.0,0,0
716,2016-09-02,0.0002,0.0002,0.0002,0.0002,0.0002,"164,747",0.0,0,-4.925446029770787e-06,0.0,0.0,0.0,0,0
717,2016-09-03,0.0002,0.0002,0.0002,0.0002,0.0002,"270,431",0.0,0,-4.653217857557404e-06,0.0,0.0,0.0,0,0
718,2016-09-04,0.0002,0.0002,0.0002,0.0002,0.0002,"290,452",0.0,0,-4.386905553315488e-06,0.0,0.0,0.0,0,0
719,2016-09-05,0.0002,0.0002,0.0002,0.0002,0.0002,"254,656",0.0,0,-4.128263086421489e-06,0.0,0.0,0.0,0,0
720,2016-09-06,0.0002,0.0002,0.0002,0.0002,0.0002,"199,043",0.0,0,-3.878577243852997e-06,0.0,0.0,0.0,0,0
721,2016-09-07,0.0002,0.0002,0.0002,0.0002,0.0002,"213,195",0.0,0,-3.638754122252608e-06,0.0,0.0,0.0,0,0
722,2016-09-08,0.0002,0.0002,0.0002,0.0002,0.0002,"139,759",0.0,0,-3.4093912307166675e-06,0.0,0.0,0.0,0,0
723,2016-09-09,0.0002,0.0002,0.0002,0.0002,0.0002,"102,465",0.0,0,-3.1908374982515504e-06,0.0,0.0,0.0,0,0
724,2016-09-10,0.0002,0.0003,0.0002,0.0002,0.0002,"98,396",0.0,0,-2.983243120983979e-06,0.0,0.0,0.0,0,0
725,2016-09-11,0.0002,0.0003,0.0002,0.0002,0.0002,"96,143",0.0,0,-2.786600881005309e-06,0.0,0.0,0.0,0,0
726,2016-09-12,0.0002,0.0002,0.0002,0.0002,0.0002,"128,679",0.0,0,-2.6007803125775014e-06,0.0,0.0,0.0,0,0
727,2016-09-13,0.0002,0.0002,0.0002,0.0002,0.0002,"65,946",0.0,0,-2.4255558750619548e-06,0.0,0.0,0.0,0,0
728,2016-09-14,0.0002,0.0002,0.0002,0.0002,0.0002,"141,810",0.0,0,-2.260630109201492e-06,0.0,0.0,0.0,0,0
729,2016-09-15,0.0002,0.0002,0.0002,0.0002,0.0002,"305,283",0.0,0,-2.1056525990919748e-06,0.0,0.0,0.0,0,0
730,2016-09-16,0.0002,0.0003,0.0002,0.0003,0.0003,"775,759",9.999999999999996e-05,1,6.016972545285453e-06,0.4999999999999998,0.4999999999999998,0.4999999999999998,0,0
